"G.1.1","Organizational security requirements","Organizational security requirements, such as those imposed by standards and regulations, are included in the SDLC.","Identify, document, communicate, and maintain security requirements and policies for the organization's software development infrastructure, including all AI models used, and secure SDLC. Maintain the requirements and policies over time. Incorporate constraints imposed by standards and regulations and customer-driven security requirements.","How do you document and share a secure SDLC that the engineers are aware of?"
"G.1.1","Organizational security requirements","Organizational security requirements, such as those imposed by standards and regulations, are included in the SDLC.","Identify, document, communicate, and maintain security requirements and policies for the organization's software development infrastructure, including all AI models used, and secure SDLC. Maintain the requirements and policies over time. Incorporate constraints imposed by standards and regulations and customer-driven security requirements.","How do you define security requirements and policies for the organization, its development infrastructure, contributions, and processes?"
"G.1.1","Organizational security requirements","Organizational security requirements, such as those imposed by standards and regulations, are included in the SDLC.","Identify, document, communicate, and maintain security requirements and policies for the organization's software development infrastructure, including all AI models used, and secure SDLC. Maintain the requirements and policies over time. Incorporate constraints imposed by standards and regulations and customer-driven security requirements.","How are these requirements and contributions maintained over time?"
"G.1.1","Organizational security requirements","Organizational security requirements, such as those imposed by standards and regulations, are included in the SDLC.","Identify, document, communicate, and maintain security requirements and policies for the organization's software development infrastructure, including all AI models used, and secure SDLC. Maintain the requirements and policies over time. Incorporate constraints imposed by standards and regulations and customer-driven security requirements.","How are constraints imposed by regulatory and compliance drivers included in these requirements, policies, and the SDLC?"
"G.1.2","Software license conflict","Software licenses that conflict with the organization's policies are identified.","Software licenses may or may not allow certain types of usage, contain distribution requirements or limitations, or require specific action if the software is modified. Risk is increased if the licenses of components conflict with an organization's policies. Software licenses should be documented and tracked to trace the users and use of licenses to access control information and processes according to software usage restrictions. License metadata should be recorded during the build and made available in the SBOM.","How do you check that the software licenses for tools or third party components comply with your organization's use policies?"
"G.1.2","Software license conflict","Software licenses that conflict with the organization's policies are identified.","Software licenses may or may not allow certain types of usage, contain distribution requirements or limitations, or require specific action if the software is modified. Risk is increased if the licenses of components conflict with an organization's policies. Software licenses should be documented and tracked to trace the users and use of licenses to access control information and processes according to software usage restrictions. License metadata should be recorded during the build and made available in the SBOM.","What tools, if any, do you use to automate the license check process?"
"G.1.2","Software license conflict","Software licenses that conflict with the organization's policies are identified.","Software licenses may or may not allow certain types of usage, contain distribution requirements or limitations, or require specific action if the software is modified. Risk is increased if the licenses of components conflict with an organization's policies. Software licenses should be documented and tracked to trace the users and use of licenses to access control information and processes according to software usage restrictions. License metadata should be recorded during the build and made available in the SBOM.","How do you document and track users and uses of software licenses relative to access control policies and software usage restrictions?"
"G.1.3","Produce attestation","Produce an audit trail for every step in the build process, the integrity/provenance of training data, and evidence of the use of secure software development practices.","Configure tools to generate attestations (aka evidence) to create an audit trail for every step in the build process and of the use of secure software development practices. These attestations should indicate conformance with record retention requirements, preserve the integrity of the findings and the authenticity of the information. For AI models, generate attestations of the integrity and provenance of the training datasets.  Assign responsibility for creating attestations that tools cannot generate. Attestations should be immutable and published in the source repository releases, in the package registry, or elsewhere, with their existence recorded in a transparency log.. An attestation is a signed assertion that the record is trustworthy.","Describe your automated or manual processes for producing attestations for the build process, the integrity/provenance of training data, and for the use of secure development practices?"
"G.1.3","Produce attestation","Produce an audit trail for every step in the build process, the integrity/provenance of training data, and evidence of the use of secure software development practices.","Configure tools to generate attestations (aka evidence) to create an audit trail for every step in the build process and of the use of secure software development practices. These attestations should indicate conformance with record retention requirements, preserve the integrity of the findings and the authenticity of the information. For AI models, generate attestations of the integrity and provenance of the training datasets.  Assign responsibility for creating attestations that tools cannot generate. Attestations should be immutable and published in the source repository releases, in the package registry, or elsewhere, with their existence recorded in a transparency log.. An attestation is a signed assertion that the record is trustworthy.","Where do you publish your attestations, e.g. source repositories, package registries, transparency logs?"
"G.1.3","Produce attestation","Produce an audit trail for every step in the build process, the integrity/provenance of training data, and evidence of the use of secure software development practices.","Configure tools to generate attestations (aka evidence) to create an audit trail for every step in the build process and of the use of secure software development practices. These attestations should indicate conformance with record retention requirements, preserve the integrity of the findings and the authenticity of the information. For AI models, generate attestations of the integrity and provenance of the training datasets.  Assign responsibility for creating attestations that tools cannot generate. Attestations should be immutable and published in the source repository releases, in the package registry, or elsewhere, with their existence recorded in a transparency log.. An attestation is a signed assertion that the record is trustworthy.","What are your auditability/retention requirements for these attestations?"
